id,availability,condition,description,image_link,link,title,price,brand
"83725","in stock","new","Minimizes the appearance of pores, mattifies skin, and absorbs excess oil for a shine-free, flawless look. The clear formular is infused with Vitamin E, Jojoba, Almond, and Grape to help nourish the skin. This portable mirrored compact is perfect for oil control touch ups on-the-go.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/e/l/elf-cosmetics-studio-hd-mattifying-balm.jpg","https://stage-glamazle.hyperx.cloud/elf-hd-mattifying-balm.html?___store=default","Elf HD Mattifying Balm","45.000000","Elf"
"81160","out of stock","new","The cream formula creates smooth lines that are defined and precise. Smudge-proof, budge-proof and water-resistant coverage for all day wear to combat against sweat, tears or rain! Achieve thin or bold lines with ease. Slanted Eyeliner Brush included.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/2/12395_81160_900px_new64727.91.jpg.64727.91_1.jpg","https://stage-glamazle.hyperx.cloud/elf-cream-eyeliner-black.html?___store=default","Elf Cream Eyeliner - Black","19.000000","Elf"
"81301","in stock","new","Create brows that are fuller, thicker, and more defined! The pigmented wax defines and shapes brows and the color complementing setting powder keeps them looking arched and perfected. The doubled sided taklon brush has one side to help arch your brows while the other side aids in filling them in. This duo provides lasting color definition for a naturally beautiful look.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/8/1/81301_eyebrow-kit_light.jpg","https://stage-glamazle.hyperx.cloud/elf-eyebrow-kit-light.html?___store=default","Elf Eyebrow Kit - Light","19.000000","Elf"
"81302","in stock","new","Create brows that are fuller, thicker, and more defined! The pigmented wax defines and shapes brows and the color complementing setting powder keeps them looking arched and perfected. The doubled sided taklon brush has one side to help arch your brows while the other side aids in filling them in. This duo provides lasting color definition for a naturally beautiful look.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/8/1/81302_eyebrow-kit_amed.jpg","https://stage-glamazle.hyperx.cloud/elf-eyebrow-kit-medium.html?___store=default","Elf Eyebrow Kit -  Medium","19.000000","Elf"
"83401","in stock","new","Features a new and improved air pump! For best results, you may need to pump the component several times before product dispenses.

Recommended uses:
Tone Adjusting Green is ideal for minimizing redness and correcting blotchy skin.
Brightening Lavender is ideal for uneven skin tones and to brighten dull or yellow tones.
Radiant Glow is ideal for creating a luminizing effect on dark spots and uneven skin tones.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/1/11666_83401_900px_new60513.6.jpg.60513.6.jpg","https://stage-glamazle.hyperx.cloud/elf-mineral-infused-primer.html?___store=default","Elf Mineral Infused Primer","49.000000","Elf"
"83601","out of stock","new","Create a healthy and natural glow all year long with the Contouring Blush & Bronzing Powder. The Blush highlights the cheeks to add a flush of color, while the Bronzer accents and contours cheekbones for beautiful definition. This convenient compact has just what you need to achieve a gorgeous glow anytime, anywhere.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/1/11125_83601_900px_new56683.94.jpg.56683.94.jpg","https://stage-glamazle.hyperx.cloud/elf-contouring-bronzing-powder-st-lucia.html?___store=default","Elf Contouring & Bronzing Powder - St. Lucia","25.000000","Elf"
"lorac_pro2","out of stock","new","Go PRO with LORAC PRO Palette 2! The sequel to our original, best-selling PRO Palette and created by celebrity makeup artist Carol Shaw, this PRO artistry palette is packed with 8 Shimmer and 8 Matte Eye Shadows in all the cool shades you need to create the hottest looks straight from the Red Carpet. LORAC&rsquo;s velvety-smooth shadows are infused with soothing botanicals and are ultra-pigmented to perform wet or dry so you can shade, shadow, line and define your eyes, just like a PRO.
Top Row: Buff (Matte), Lt. Brown (Matte), Cool Gray (Matte), Nectar (Matte), Plum (Matte), Navy (Matte), Charcoal (Matte), Black (Matte)
Bottom Row: Snow (Shimmer), Beige (Shimmer), Ros&eacute; (Shimmer), Mocha (Shimmer), Chrome (Shimmer), Silver (Shimmer), Jade (Shimmer), Cocoa (Shimmer)
*Mini Behind the Scenes Eye Primer Included","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/l/o/lorac-pro-palette-2.jpg","https://stage-glamazle.hyperx.cloud/lorac-pro-palette-2.html?___store=default","Lorac Pro Palette 2 ","229.000000","Lorac"
"redcWSP","in stock","new","Red Cherry (Natural) WSP (also known as Red Cherry WISPY False Eyelashes) are lengthy black false eyelashes, with subtle fullness

Natural-feeling lashes
Full length, Moderate volume
100% Human Hair

Style: Natural - Glamour&nbsp;
Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc-wsp-1_1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-wsp.html?___store=default","Red Cherry Lashes #WSP","19.000000","Red Cherry"
"redc503","in stock","new","Natural-feeling lashesFull length, Subtle to Moderate volume100% Human HairStyle: Natural - Glamour
Especially great for eyeshapes: Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc503-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-503.html?___store=default","Red Cherry Lashes #503 - SWEETPEA","19.000000","Red Cherry"
"redc48","in stock","new","Natural-feeling lashesFull length, Full volume100% Human HairStyle: Glamour
Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc48-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-48.html?___store=default","Red Cherry Lashes #48 - DARLA","19.000000","Red Cherry"
"redc415","in stock","new","Natural-feeling lashesModerate to Full length, Moderate to Full volume100% Human HairStyle: Natural - Glamour
Especially great for eyeshapes: Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc415-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-415.html?___store=default","Red Cherry Lashes #415 - IVY","19.000000","Red Cherry"
"redc41","in stock","new","Natural-feeling lashes
Full to Extreme length, Moderate to Full volume100% Human HairStyle: Natural - Glamour
Especially great for eyeshapes: Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc-41-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-41.html?___store=default","Red Cherry Lashes #41 - SUNDANCE","19.000000","Red Cherry"
"redc218","in stock","new","Natural-feeling lashesModerate to Full length, Moderate volume100% Human HairStyle: Natural - Glamour
Especially great for eyeshapes: Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc218-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-218.html?___store=default","Red Cherry Lashes #218 - BENTLEY","19.000000","Red Cherry"
"redc217","out of stock","new","
Natural-feeling lashes
Full length, Subtle to Moderate volume
100% Human Hair

Style: Natural - Glamour
Especially great for eyeshapes: &nbsp;Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc217-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-217.html?___store=default","Red Cherry Lashes #217 - TRACE","19.000000","Red Cherry"
"redc213","in stock","new","
Natural-feeling lashes
Moderate to Full length, Subtle to Moderate volume
100% Human Hair

Style: Natural - Glamour
Especially great for eyeshapes: &nbsp;Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Wedding, Prom, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc213-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-213.html?___store=default","Red Cherry Lashes #213 - HARLEY","19.000000","Red Cherry"
"redc20","in stock","new","
Natural-feeling lashes
Full length, Full volume
100% Human Hair

Style: Natural - Glamour&nbsp;
Especially great for eyeshapes: &nbsp;Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show&nbsp;","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc20-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-20.html?___store=default","Red Cherry Lashes #20 - HON","19.000000","Red Cherry"
"redc16","in stock","new","
Natural-feeling lashes
Full to Extreme length, Moderate to Full volume
100% Human Hair

Style: Natural - Glamour
Especially great for eyeshapes: (All), Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc16-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-16.html?___store=default","Red Cherry Lashes #16 - STELLA ","19.000000","Red Cherry"
"redc107","in stock","new","
Natural-feeling lashes
Super Extreme length, Moderate to Full volume
100% Human Hair

Style: Glamour - Dramatic
Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc107-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-107.html?___store=default","Red Cherry Lashes #107 - FRANKIE ","19.000000","Red Cherry"
"redc102","in stock","new","
Natural-feeling lashes
Super Extreme length, Extreme volume
100% Human Hair

Style: Glamour - Dramatic
Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc102_1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-102.html?___store=default","Red Cherry Lashes #102 - CHAKRA ","19.000000","Red Cherry"
"redc100","in stock","new","
Natural-feeling lashes
Super Extreme length, Full volume
100% Human Hair

Style: Glamour - Dramatic
Especially great for eyeshapes: (All), Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/e/red-cherry-100-1.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-100.html?___store=default","Red Cherry Lashes #100 - CALI ","19.000000","Red Cherry"
"redc01","in stock","new","
Natural-feeling lashes
Full length, Moderate volume
100% Human Hair

Style: Natural - Glamour&nbsp;
Especially great for eyeshapes: (All), Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes
Ideal for occasions: Daily use, Wedding, Prom, Holiday, Party, Club, Performance, Evening out, Photography, Fashion Runway Show
Style is comparable to Bullseye BETTE Lashes.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/r/c/rc-1-2.jpg","https://stage-glamazle.hyperx.cloud/red-cherry-lashes-01.html?___store=default","Red Cherry Lashes #01 - CHLOE ","19.000000","Red Cherry"
"rungil","in stock","new","Gisele Lashes are slightly shorter than the Claudia lash, but have tons more volume! Catch these lashes on fashion show runways worn by high fashion models to create and compliment dramatic and beautiful designer looks. Preferred by makeup artists and professionals who style these shows. Made of 100% human hair. Gisele lashes resemble a longer version of Fashion Lashes #131.
Style: Glamour - Night
Especially great for eyeshapes: Large eyes, Almond - shaped eyes
Ideal for occasions: Fashion show, Night out, Party, Prom, Wedding, Holiday, Photography","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/g/i/gisele-1.jpg","https://stage-glamazle.hyperx.cloud/ardell-runway-lash-gisele.html?___store=default","Ardell Runway Lash GISELE","19.000000","Ardell"
"runclau","in stock","new","
Claudia Lashes have length, length, and more length! Catch these lashes on fashion show runways worn by high fashion models to create and compliment dramatic and beautiful designer looks. Preferred by makeup artists and professionals who style these shows.&nbsp;Made of 100% human hair.
Style: Glamour - Night
Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes
Ideal for occasions: Fashion show, Night out, Party, Prom, Wedding, Holiday
&nbsp;
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/c/l/claudia-1.jpg","https://stage-glamazle.hyperx.cloud/ardell-runway-lash-claudia.html?___store=default","Ardell Runway Lash CLAUDIA","19.000000","Ardell"
"ard65016","in stock","new","Ardell Professional Natural Eyelashes (also known as Ardell InvisiBand Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn.
Color: Black
Style: Natural Demi Luvies (sku 65016)
Especially great for eyeshapes: Large eyes, Almond - shaped eyes
Ideal for occasions: Prom, Wedding, Performance, Holiday, Party, Night out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/d/e/demi-luvies_1_1.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-demi-luvies.html?___store=default","Ardell Natural Eyelashes Demi Luvies","19.000000","Ardell"
"ard65031","in stock","new","Ardell Professional Natural Eyelashes (also known as Ardell InvisiBand Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn. 

Color: Black

Style: Natural Babies

Especially great for eyeshapes: Small eyes, Round eyes, Almond - shaped eyes

Ideal for occasions: Daily use, Prom, Wedding, Holiday, Party, Night out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/a/babies-1.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-babies.html?___store=default","Ardell Natural Eyelashes Babies","19.000000","Ardell"
"afl131","in stock","new","Ardell 131 lashes are fine, medium length, and elegant in style with tons volume! Style is similar to a shorter version of Ardell Runway Lashes in Gisele. 

*New* Black/White Tray (Professional Natural Eyelashes) Packaging.

Style: Natural- Night

Especially great for eyeshapes: Large eyes, Almond - shaped eyes

Ideal for occasions: Performance, Party, Night out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/a/r/ardell131-1.jpg","https://stage-glamazle.hyperx.cloud/ardell-fashion-lashes-131.html?___store=default","Ardell Fashion Lashes #131","19.000000","Ardell"
"ard65026","in stock","new","Ardell Professional Natural Fairies Eyelashes (also known as Ardell InvisiBand Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn.

Color: Black

Style: Natural Fairies 

Especially great for eyeshapes: Small eyes, Large eyes, Almond - shaped eyes

Ideal for occasions: Daily use, Prom, Wedding, Holidays, Party, Night out
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/f/a/fairies-11.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-fairies.html?___store=default","Ardell Natural Eyelashes Fairies","19.000000","Ardell"
"afl106p","in stock","new","Spiky, long false eyelashes. Style available in black only.

*New* Black/White Tray (Professional Natural Eyelashes) Packaging.

Style: Natural

Especially great for eyeshapes: Large eyes, Round eyes

Ideal for occasions: Performance, Holidays, Party, Night Out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/a/r/ardell-106_2.jpg","https://stage-glamazle.hyperx.cloud/ardell-fashion-lashes-106.html?___store=default","Ardell Fashion Lashes #106","19.000000","Ardell"
"mm61468","in stock","new","Ardell's Edgy 403 lashes is a unique combination of natural strip lashes with accent edges. Each style is designed with a tapered inside with an accentuated edgy flair, to create that glam rock star look. Capture this hot fashion trend, as all the celebrities are wearing them!. **  NEW  ** 

Tapered inside
Accentuated edgy flare
Style: Glamour - Night","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/a/r/ardell403-1.jpg","https://stage-glamazle.hyperx.cloud/ardell-edgy-lash-403.html?___store=default","Ardell Edgy Lash #403","21.000000","Ardell"
"acnts315","in stock","new","**  NEW  ** Ardell Accents 315 LASHES. Also known as Andrea Mod lash Accent Lashes is a collection of LITTLE (HALF)  ACCENT LASHES.  

Style: Natural - Glamour

Especially great for eyeshapes: Small eyes, Large eyes, Round eyes, 

Ideal for occasions: Party, Wedding, Prom, Performance, Holidays, Evening out

Also try Ardell Little Black Dress lash styles.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/a/r/ardell-accent-lashes-315-es1450-z2.jpg","https://stage-glamazle.hyperx.cloud/ardell-accents-lashes-315.html?___store=default","Ardell Accents Lashes 315","19.000000","Ardell"
"ard65010","in stock","new","Ardell Professional Natural Eyelashes (also known as Ardell InvisiBand Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn.

Color: Black and Brown

Style: Natural Wispies (sku 65010 for Black / 65011 for Brown)

Especially great for eyeshapes: Large eyes, Deep-set eyes

Ideal for occasions: Prom, Performance, Holiday, Party, Night out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//s/b/sbs-240435.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-wispies.html?___store=default","Ardell Natural Eyelashes Wispies","19.000000","Ardell"
"ard65012","in stock","new","Ardell Professional Natural Eyelashes (also known as Ardell InvisiBand Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn. 

Color: Black and Brown

Style: Natural Demi Wispies 

Especially great for eyeshapes: Large eyes, Round eyes, Almond - shaped eyes

Ideal for occasions: Prom, Wedding, Holiday, Party, Night out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/d/e/demiwispies-2_1.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-demi-wispies.html?___store=default","Ardell Natural Eyelashes Demi Wispies","19.000000","Ardell"
"afl120p","out of stock","new","Ardell Professional Natural Eyelashes (also known as Ardell Fashion Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn.

Color: Black.

Style: Glamour - Night 120 

Especially great for eyeshapes: (All), Small eyes, Large eyes, Round eyes, Almond - shaped eyes, Deep-set eyes

Ideal for occasions: Performance, Holiday, Party, Evening out

","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/2/120-2.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-120.html?___store=default","Ardell Natural Eyelashes #120","19.000000","Ardell"
"afl101p","in stock","new","Ardell Professional Natural Eyelashes (also known as Ardell Fashion Lashes) are natural looking collection of lashes that transform your eyes to stimulate your inner creativity for a lush and beautiful look. Available in a variety of colors and styles, you can change your look in a snap. Includes a reusable box for storage when not being worn. Note new Fashion Lashes #101 Demi lashes may not say the word 'DEMI' on the tray. 

Color: Black

Style: Glamour - Night 101 

Especially great for eyeshapes: Large eyes, Round eyes

Ideal for occasions: Party, Wedding, Prom, Performance, Holidays, Evening out","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/a/r/ardell101-1_1.jpg","https://stage-glamazle.hyperx.cloud/ardell-natural-eyelashes-101.html?___store=default","Ardell Natural Eyelashes #101","19.000000","Ardell"
"RT_blush","in stock","new","Contour and define cheeks for flawlessly blended, high-definition results:

look pixel-perfect even in harsh light
ultra-plush, synthetic bristles are hand-cut and 100% cruelty-free
self-standing for easy storage
extended aluminum handle is light and easy to use
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/l/blush-brush-full-01.png","https://stage-glamazle.hyperx.cloud/real-techniques-blush-brush.html?___store=default","Real Techniques Blush Brush","59.000000","Real Techniques"
"RT_powder","in stock","new","Evenly apply powders and mineral foundations for smooth, high-definition results:

look pixel-perfect even in harsh light
ultra-plush, synthetic bristles are hand-cut and 100% cruelty-free
self-standing for easy storage
extended aluminum handle is light and easy to use
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/p/o/powder-brush-full-01.png","https://stage-glamazle.hyperx.cloud/real-techniques-powder-brush.html?___store=default","Real Techniques Powder Brush","59.000000","Real Techniques"
"RT_setting","in stock","new","The key to completing any look with a controlled dusting of powder or highlighter:

look pixel-perfect even in harsh light
ultra-plush, synthetic bristles are hand-cut and&nbsp;100% cruelty-free
extended aluminum handle is light and easy to use
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/e/setting-brush-full-01.png","https://stage-glamazle.hyperx.cloud/real-techniques-setting-brush.html?___store=default","Real Techniques Setting Brush","59.000000","Real Techniques"
"RT_foundation","in stock","new","The angled cut lets you build the coverage you need for airbrushed, high-definition results:

look pixel-perfect even in harsh light
ultra-plush, synthetic bristles are hand-cut and 100% cruelty-free
self-standing for easy storage
extended aluminum handle is light and easy to use
","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/f/o/foundation-brush-full-01.png","https://stage-glamazle.hyperx.cloud/real-techniques-foundation-brush.html?___store=default","Real Techniques Foundation Brush","54.000000","Real Techniques"
"82510","out of stock","new","Gently exfoliate lips to remove dry, chapped skin with our Lip Exfoliator! A sweet sugar and smoothing sensation, infused with Vitamin E, Shea Butter, Avocado, Grape and Jojoba Oils to nourish and protect. This Lip Exfoliator treats and smoothes lips for a conditioned and revitalized feel.","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/3/13373_82510_900px_new56644.28.jpg.56644.28.jpg","https://stage-glamazle.hyperx.cloud/elf-lip-exfoliator.html?___store=default","ELF Lip Exfoliator","21.000000","Elf"
"83111","out of stock","new","Achieve a flawless complexion with the silky smooth e.l.f. Studio Flawless Finish Foundation. The lightweight and oil-free formula blends in naturally for a beautiful semi-matte finish. This liquid foundation applies easily and lasts all day for visibly brighter and radiant looking skin. Using our Flawless Finish Foundation not only restores uneven skin textures and tones, but most importantly, the SPF 15 protects your skin against harmful sun damage!","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/1/2/12487_83111_900px_new47458.27.jpg.47458.27.jpg","https://stage-glamazle.hyperx.cloud/elf-flawless-finish-foundation-porcelain.html?___store=default","ELF Flawless Finish Foundation - Natural (Previously Porcelain)","44.000000","Elf"
